phrase,target
The real estate company posted a net loss of ï½  x201a ï½ 593 million ï½  x201a ï½ 021 per share compared with a net profit of ï½  x201a ï½ 31 million ï½  x201a ï½ 011 per share for the corresponding quarter of 2007,negative
The EU Commission said earlier it had fined ThyssenKrupp  United Technologies Corp s Otis  Schindler AG and Kone Oyj a total of 9923 mln eur for alleged cartel activity in the lift market going back twelve years,negative
Cargo traffic fell 1  yearonyear to 8561 tonnes in September 2009,negative
Finnish media group Talentum has issued a profit warning,negative
Net profit fell by almost half to ï½ 55 million from ï½ 94 million at the end of 2007,negative
Cash flow from operations in JanuaryDecember 2008 was a negative EUR 181 mn compared to EUR 390 mn in the corresponding period in 2007,negative
Diluted earnings per share  EPS  stood at EUR 025 versus EUR 042,negative
Production levels have been agreed with producers a long time ago  so a fall in consumption will lead to losses,negative
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 01 percentage points to 248,negative
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki  SAL1V on Wednesday 19 November lowered its fullyear net sales estimate,negative
ADPnews   May 4  2010  Finnish cutlery and hand tools maker Fiskars Oyj Abp  HEL  FISAS  said today its net profit declined to EUR 129 million  USD 17m  in the first quarter of 2010 from EUR 17 million in the correspon,negative
Operating profit totaled EUR 67 mn  down from EUR 72 mn in the corresponding period in 2005,negative
Profit for the period totalled EUR 11 mn  down from EUR 16 mn in the third quarter of 2008,negative
In JanuaryNovember 2009  the group s sales totalled EUR 78017 mn  which was a drop of 126  from the same period of 2008,negative
Operating profit excluding nonrecurring items was EUR 78 million compared to EUR 112 million,negative
Scanfil has also issued a profit warning,negative
Net sales for the period are expected to fall well below that of last year and the result after nonrecurring items is expected to be in the red,negative
down to EUR5 9 m H1 09 3 August 2009  Finnish media group IlkkaYhtyma Oyj  HEL  ILK2S  said today its net profit fell 45  on the year to EUR5 9 m in the first half of 2009,negative
Finnish Bank of ï½land reports its operating profit fell to EUR 49 mn in the third quarter of 2007 from EUR 56 mn in the third quarter of 2006,negative
Earnings per share  EPS  in 2005 decreased to EUR1 87 from EUR1 89 in 2003,negative
